time,x,y,z
6.554,-0.04,0.18,1.03
6.555,-0.04,0.18,1.04
6.569,-0.04,0.19,1.06
6.576,-0.04,0.20,1.00
6.600,-0.04,0.21,1.06
6.601,-0.04,0.22,1.00
6.606,-0.04,0.22,1.00
6.621,-0.05,0.22,1.03
6.626,-0.06,0.22,1.05
6.637,-0.04,0.22,1.03
6.646,-0.04,0.18,1.04
6.656,-0.04,0.17,1.04
6.698,-0.04,0.17,1.04
6.698,-0.04,0.16,1.04
6.699,-0.02,0.16,1.03
6.699,-0.01,0.17,1.03
6.706,-0.01,0.18,1.03
6.743,-0.02,0.20,1.03
6.743,-0.01,0.21,1.02
6.744,-0.02,0.22,1.02
6.745,-0.02,0.22,1.02
6.756,-0.01,0.22,1.02
6.784,-0.00,0.22,1.03
6.785,-0.02,0.21,1.02
6.785,-0.02,0.19,1.03
6.796,-0.02,0.17,1.02
6.806,-0.02,0.17,1.04
6.816,-0.02,0.17,1.04
6.826,-0.04,0.18,1.05
6.837,-0.03,0.19,1.04
6.846,-0.04,0.21,1.07
6.856,-0.03,0.22,1.06
6.884,-0.02,0.22,1.05
6.885,-0.02,0.23,1.04
6.886,-0.02,0.22,1.03
6.897,-0.02,0.22,1.04
6.907,-0.03,0.21,1.03
6.917,-0.02,0.19,1.04
6.926,-0.01,0.18,1.04
6.937,-0.00,0.18,1.02
6.946,-0.01,0.17,1.04
6.956,-0.01,0.18,1.04
6.975,-0.02,0.18,1.02
6.975,-0.03,0.19,1.06
6.997,-0.02,0.18,1.04
6.998,-0.03,0.18,1.04
7.006,-0.02,0.21,1.04
7.016,-0.04,0.21,1.02
7.037,-0.03,0.22,1.03
7.037,-0.03,0.22,1.00
7.051,-0.03,0.22,1.00
7.056,-0.02,0.23,1.01
7.070,-0.03,0.23,1.01
7.076,-0.03,0.23,1.01
7.086,-0.04,0.21,1.01
7.113,-0.05,0.22,1.00
7.114,-0.04,0.22,1.02
7.114,-0.04,0.22,1.02
7.126,-0.04,0.22,1.01
7.136,-0.04,0.21,1.02
7.148,-0.02,0.22,1.03
7.156,-0.02,0.20,1.01
7.166,-0.01,0.20,1.02
7.176,-0.02,0.20,1.02
7.189,-0.02,0.19,1.01
7.199,-0.02,0.20,1.04
7.210,-0.02,0.18,1.03
7.224,-0.02,0.20,1.04
7.225,-0.02,0.20,1.03
7.239,-0.00,0.19,1.04
7.254,0.01,0.19,1.03
7.255,0.00,0.19,1.03
7.272,-0.00,0.18,1.03
7.276,-0.00,0.18,1.03
7.286,-0.01,0.20,1.04
7.319,-0.02,0.20,1.04
7.322,-0.03,0.20,1.04
7.323,-0.02,0.19,1.04
7.326,-0.03,0.20,1.06
7.336,-0.02,0.19,1.06
7.352,-0.02,0.20,1.06
7.358,-0.01,0.19,1.05
7.369,-0.02,0.18,1.05
7.386,-0.02,0.18,1.06
7.432,-0.03,0.18,1.05
7.432,-0.02,0.19,1.04
7.433,-0.02,0.20,1.05
7.433,-0.01,0.20,1.05
7.436,-0.02,0.20,1.05
7.446,-0.02,0.21,1.04
7.456,-0.02,0.19,1.04
7.466,-0.02,0.20,1.04
7.476,-0.04,0.20,1.04
7.501,-0.04,0.20,1.03
7.502,-0.02,0.21,1.04
7.506,-0.03,0.20,1.02
7.530,-0.02,0.20,1.02
7.532,-0.02,0.20,1.02
7.537,-0.02,0.20,1.01
7.555,-0.02,0.20,1.02
7.556,-0.01,0.21,1.02
7.570,-0.00,0.21,1.01
7.576,-0.01,0.20,1.00
7.586,-0.01,0.21,1.02
7.616,-0.02,0.20,1.01
7.619,-0.02,0.20,1.02
7.620,-0.03,0.19,1.03
7.626,-0.02,0.19,1.02
7.636,-0.02,0.18,1.05
7.652,-0.01,0.16,1.02
7.656,-0.02,0.18,1.03
7.666,-0.02,0.18,1.04
7.715,-0.02,0.20,1.02
7.716,-0.01,0.20,1.05
7.718,-0.02,0.21,1.04
7.718,-0.03,0.20,1.06
7.726,-0.04,0.16,1.05
7.747,-0.04,0.20,1.04
7.748,-0.04,0.19,1.02
7.756,-0.04,0.18,1.04
7.766,-0.02,0.18,1.04
7.776,-0.03,0.18,1.03
7.803,-0.02,0.18,1.05
7.805,-0.02,0.18,1.03
7.806,-0.01,0.18,1.04
7.817,-0.00,0.19,1.04
7.826,-0.01,0.19,1.03
7.836,-0.01,0.20,1.02
7.846,-0.02,0.19,1.01
7.856,-0.03,0.19,1.02
7.869,-0.03,0.19,1.02
7.876,-0.01,0.18,1.02
7.886,-0.01,0.17,1.02
7.924,0.00,0.17,1.02
7.925,-0.00,0.16,1.03
7.926,-0.00,0.16,1.04
7.926,-0.01,0.17,1.03
7.937,-0.02,0.16,1.05
7.948,-0.03,0.18,1.04
7.958,-0.03,0.18,1.06
7.972,-0.03,0.18,1.06
7.976,-0.05,0.18,1.06
7.986,-0.06,0.18,1.04
8.007,-0.05,0.18,1.04
8.008,-0.04,0.18,1.06
8.024,-0.04,0.16,1.02
8.025,-0.04,0.17,1.04
8.037,-0.04,0.18,1.03
8.055,-0.03,0.20,1.04
8.056,-0.03,0.19,1.02
8.066,-0.02,0.19,1.04
8.076,-0.02,0.20,1.03
8.086,-0.03,0.21,1.03
8.107,-0.02,0.20,1.02
8.108,-0.02,0.20,1.02
8.126,-0.02,0.20,1.04
8.127,-0.02,0.19,1.02
8.137,-0.02,0.18,1.03
8.149,-0.01,0.18,1.05
8.156,-0.01,0.16,1.04
8.169,-0.01,0.15,1.04
8.176,-0.01,0.16,1.03
8.186,-0.02,0.15,1.04
8.223,-0.02,0.17,1.04
8.224,-0.03,0.18,1.05
8.224,-0.02,0.18,1.04
8.225,-0.01,0.19,1.04
8.236,-0.02,0.20,1.04
8.248,-0.03,0.18,1.05
8.256,-0.04,0.19,1.04
8.266,-0.04,0.17,1.04
