time,x,y,z
5.226,0.07,-0.20,0.93
5.237,0.25,-0.26,0.98
5.247,0.26,0.02,0.94
5.260,0.29,0.24,0.94
5.294,0.33,0.32,1.05
5.295,0.34,0.40,1.29
5.296,0.31,0.40,1.59
5.297,0.29,0.31,1.70
5.307,0.20,0.21,1.59
5.321,0.02,0.15,1.39
5.326,-0.06,0.07,1.26
5.337,-0.13,0.02,1.16
5.348,-0.15,-0.02,1.15
5.365,-0.13,-0.02,1.25
5.367,-0.05,0.02,1.34
5.377,-0.04,0.15,1.40
5.416,-0.06,0.23,1.41
5.417,-0.08,0.28,1.31
5.418,-0.06,0.30,1.22
5.420,-0.06,0.31,1.14
5.427,-0.06,0.28,1.04
5.440,-0.04,0.30,0.99
5.450,-0.03,0.26,1.00
5.478,0.04,0.15,1.04
5.479,0.11,0.09,1.08
5.479,0.19,0.13,1.14
5.508,0.24,0.15,1.10
5.508,0.21,0.19,0.92
5.509,0.20,0.23,0.78
5.519,0.15,0.25,0.66
5.526,0.10,0.21,0.56
5.537,0.09,0.14,0.52
5.548,0.05,0.06,0.54
5.573,0.04,0.06,0.64
5.574,0.08,0.15,0.75
5.576,0.08,0.13,0.84
5.605,0.17,0.24,0.80
5.606,0.16,0.24,0.85
5.607,0.04,0.24,0.84
5.618,-0.18,0.26,0.78
5.626,-0.24,0.16,0.62
5.637,-0.11,0.28,0.59
5.648,0.04,0.33,0.60
5.674,0.14,0.32,0.79
5.676,0.26,0.32,1.18
5.677,0.42,0.25,1.58
5.711,0.32,0.21,1.51
5.712,0.14,0.27,1.34
5.712,-0.06,0.24,1.19
5.722,0.02,0.22,1.02
5.726,0.20,0.32,1.05
5.736,0.37,0.40,1.28
5.746,0.34,0.45,1.41
5.765,0.34,0.50,1.40
5.766,0.21,0.45,1.15
5.777,0.08,0.33,0.83
5.802,-0.00,0.29,0.64
5.803,-0.05,0.38,0.52
5.806,-0.11,0.44,0.63
5.819,-0.15,0.46,0.97
5.826,-0.01,0.38,1.38
