time,x,y,z
5.833,-0.00,0.02,0.90
5.843,-0.00,0.00,0.91
5.853,0.01,-0.02,0.92
5.863,0.03,-0.04,0.95
5.874,0.04,-0.07,0.96
5.883,0.06,-0.06,0.98
5.905,0.08,-0.06,0.95
5.906,0.08,-0.03,0.93
5.929,0.07,-0.04,0.87
5.930,0.06,0.02,0.83
5.933,0.07,0.02,0.80
5.944,0.06,0.05,0.72
5.954,0.04,0.04,0.68
5.964,0.05,0.08,0.69
5.973,0.02,0.07,0.70
5.983,0.03,0.05,0.72
6.005,0.02,0.04,0.75
6.006,0.02,0.06,0.79
6.029,0.04,0.09,0.84
6.030,0.02,0.11,0.86
6.033,-0.01,0.15,0.94
6.043,-0.02,0.16,0.97
6.053,-0.03,0.18,1.02
6.064,-0.04,0.18,1.07
6.074,-0.06,0.18,1.09
6.083,-0.06,0.15,1.11
6.112,-0.07,0.15,1.14
6.114,-0.04,0.13,1.20
6.114,-0.03,0.10,1.22
6.130,-0.02,0.10,1.25
6.133,0.01,0.10,1.27
6.143,0.02,0.09,1.28
6.153,0.03,0.09,1.30
6.163,0.05,0.07,1.29
6.176,0.07,0.05,1.29
6.183,0.09,0.00,1.26
6.193,0.11,0.01,1.22
6.203,0.13,0.05,1.18
6.221,0.14,0.08,1.13
6.250,0.14,0.06,1.12
6.251,0.14,0.01,1.14
6.251,0.17,-0.03,1.18
6.253,0.18,-0.07,1.22
6.264,0.20,-0.10,1.26
6.274,0.20,-0.08,1.26
6.283,0.18,-0.07,1.24
6.305,0.17,-0.10,1.22
6.306,0.16,-0.12,1.18
6.332,0.16,-0.11,1.18
6.334,0.18,-0.11,1.17
6.334,0.18,-0.12,1.16
6.348,0.21,-0.15,1.17
6.353,0.23,-0.17,1.17
6.363,0.21,-0.17,1.16
6.373,0.20,-0.16,1.16
6.383,0.17,-0.14,1.11
6.415,0.14,-0.11,1.04
6.416,0.11,-0.08,0.97
6.416,0.09,-0.03,0.86
6.423,0.06,-0.01,0.79
6.433,0.04,0.02,0.72
6.443,0.02,0.04,0.65
6.453,0.00,0.05,0.61
6.463,-0.02,0.05,0.57
6.478,-0.02,0.06,0.57
6.484,-0.01,0.07,0.56
6.509,-0.00,0.07,0.60
6.510,0.01,0.08,0.63
6.514,0.02,0.09,0.67
6.523,0.03,0.09,0.69
6.539,0.05,0.10,0.76
6.550,0.07,0.10,0.79
6.553,0.07,0.12,0.82
6.563,0.10,0.15,0.87
6.573,0.10,0.15,0.89
6.583,0.11,0.14,0.92
6.609,0.11,0.15,0.94
6.610,0.11,0.15,0.97
6.616,0.13,0.14,1.00
6.623,0.14,0.12,1.02
6.633,0.14,0.10,1.07
6.647,0.14,0.09,1.11
6.653,0.15,0.06,1.18
6.664,0.14,0.03,1.24
6.676,0.14,0.04,1.32
6.683,0.10,0.05,1.37
6.698,0.07,0.06,1.38
6.703,0.02,0.05,1.44
6.713,0.03,-0.00,1.41
6.724,0.07,-0.00,1.38
6.739,0.08,0.01,1.34
6.763,0.06,-0.04,1.32
6.764,-0.02,-0.10,1.34
6.764,-0.03,-0.15,1.36
6.773,-0.00,-0.18,1.38
6.784,0.03,-0.20,1.34
6.811,0.06,-0.21,1.28
6.812,0.08,-0.23,1.25
6.813,0.06,-0.22,1.21
6.824,0.02,-0.20,1.18
6.834,-0.01,-0.14,1.17
6.848,-0.02,-0.09,1.14
6.853,-0.02,-0.06,1.12
6.864,-0.00,-0.04,1.08
6.874,0.01,-0.01,1.05
6.884,0.02,-0.01,1.05
6.914,0.03,-0.01,1.02
6.915,0.06,-0.02,0.96
6.916,0.08,-0.01,0.92
6.930,0.07,0.00,0.89
6.933,0.07,0.02,0.82
6.948,0.06,0.03,0.80
6.953,0.07,0.03,0.72
6.964,0.05,0.05,0.71
6.976,0.05,0.07,0.66
6.983,0.06,0.04,0.67
6.993,0.06,0.05,0.66
7.003,0.06,0.04,0.68
7.021,0.05,0.07,0.66
7.029,0.06,0.06,0.69
7.050,0.06,0.08,0.69
7.051,0.04,0.09,0.70
7.053,0.01,0.10,0.75
7.064,0.00,0.10,0.78
7.073,0.01,0.10,0.83
7.084,0.02,0.08,0.86
7.093,0.02,0.07,0.94
7.103,0.02,0.05,0.97
7.121,0.04,0.03,1.00
7.129,0.07,0.01,1.04
7.150,0.08,0.02,1.07
7.151,0.09,0.04,1.06
7.153,0.09,0.07,1.08
7.164,0.07,0.08,1.06
7.181,0.05,0.10,1.06
7.183,0.06,0.09,1.08
7.198,0.11,0.08,1.16
7.203,0.13,0.10,1.22
7.213,0.13,0.10,1.27
7.252,0.12,0.10,1.27
7.253,0.12,0.06,1.28
7.254,0.13,0.06,1.26
7.254,0.14,0.05,1.23
7.264,0.14,0.06,1.18
7.274,0.15,0.06,1.15
7.284,0.16,0.02,1.17
7.293,0.18,-0.02,1.20
7.303,0.21,-0.08,1.27
7.331,0.25,-0.11,1.31
7.331,0.26,-0.11,1.34
7.333,0.26,-0.12,1.33
7.344,0.25,-0.14,1.29
7.353,0.25,-0.16,1.28
7.363,0.24,-0.18,1.28
7.373,0.23,-0.19,1.26
7.383,0.22,-0.21,1.23
7.396,0.22,-0.20,1.23
7.404,0.22,-0.20,1.21
7.413,0.22,-0.19,1.20
7.441,0.19,-0.17,1.18
7.441,0.16,-0.15,1.14
7.452,0.13,-0.12,1.07
7.453,0.10,-0.09,0.98
7.468,0.08,-0.06,0.90
7.492,0.05,-0.04,0.83
7.502,0.04,-0.04,0.78
7.503,0.03,-0.01,0.74
7.503,0.02,0.00,0.70
7.529,0.04,0.00,0.70
7.530,0.05,0.01,0.70
7.533,0.07,0.02,0.74
7.543,0.09,-0.00,0.76
7.553,0.11,-0.00,0.76
7.563,0.12,-0.01,0.78
7.573,0.12,-0.02,0.78
7.583,0.12,-0.00,0.78
7.599,0.12,0.01,0.78
7.603,0.10,0.02,0.76
7.614,0.10,0.04,0.80
7.652,0.10,0.05,0.84
7.653,0.11,0.08,0.87
7.653,0.12,0.08,0.90
7.654,0.13,0.08,0.96
7.663,0.14,0.08,0.99
7.673,0.14,0.06,1.01
7.683,0.16,0.06,1.02
7.693,0.14,0.08,1.02
7.703,0.13,0.09,1.02
7.731,0.12,0.10,1.04
7.732,0.12,0.12,1.06
7.734,0.13,0.12,1.09
7.744,0.14,0.13,1.09
7.753,0.15,0.14,1.10
7.763,0.16,0.15,1.09
7.773,0.17,0.17,1.10
7.784,0.17,0.18,1.11
7.793,0.16,0.19,1.13
7.803,0.18,0.17,1.16
7.821,0.19,0.13,1.22
7.829,0.19,0.08,1.30
7.852,0.19,0.07,1.36
7.853,0.21,0.11,1.42
7.854,0.21,0.20,1.46
7.864,0.15,0.21,1.48
7.873,0.08,0.12,1.46
7.884,0.04,0.03,1.43
7.893,0.06,-0.02,1.37
7.903,0.07,-0.04,1.34
7.931,0.06,-0.11,1.27
7.932,0.05,-0.23,1.26
7.950,0.02,-0.27,1.25
7.951,-0.01,-0.32,1.22
7.954,-0.01,-0.32,1.20
7.964,-0.00,-0.34,1.20
7.976,0.02,-0.31,1.18
7.984,0.00,-0.25,1.21
7.993,0.01,-0.22,1.17
8.003,0.02,-0.17,1.13
8.032,0.03,-0.13,1.08
8.033,0.05,-0.09,0.97
8.036,0.08,-0.05,0.91
8.046,0.10,-0.03,0.86
8.053,0.12,-0.01,0.81
8.064,0.14,-0.00,0.80
8.074,0.15,-0.02,0.81
8.084,0.15,-0.04,0.84
8.098,0.17,-0.07,0.88
8.103,0.20,-0.08,0.89
8.113,0.23,-0.10,0.88
8.125,0.23,-0.11,0.84
8.150,0.24,-0.07,0.84
8.151,0.26,-0.04,0.85
8.155,0.25,-0.02,0.84
8.167,0.25,0.00,0.80
8.173,0.24,0.02,0.76
8.183,0.21,0.02,0.74
8.198,0.16,0.05,0.73
8.203,0.16,0.07,0.74
8.214,0.16,0.07,0.76
8.223,0.13,0.06,0.79
8.254,0.12,0.05,0.80
8.255,0.14,0.05,0.81
8.255,0.11,0.05,0.81
8.264,0.10,0.06,0.80
8.273,0.10,0.08,0.81
8.283,0.09,0.08,0.82
8.298,0.10,0.09,0.84
8.303,0.09,0.10,0.89
8.313,0.11,0.07,0.96
8.349,0.09,0.00,1.04
